"time","pointMass.r_0[1]","pointMass.r_0[2]","pointMass.r_0[3]"
6.736,0.2817983424305422,0.2275305189552767,0.5764150741848951
6.738,0.2818540566595329,0.2275064297247119,0.5763973419254431
6.74,0.2819098764663691,0.2274822257390588,0.5763795963805077
6.742,0.2819658004534902,0.2274579055877903,0.576361838744096
6.744,0.2820218272260581,0.2274334678668265,0.5763440702066617
6.746,0.2820779553921167,0.2274089111788124,0.5763262919549191
6.748,0.282134183562751,0.2273842341333953,0.5763085051716536
6.75,0.2821905103522456,0.2273594353475028,0.5762907110355334
6.752,0.2822469343782441,0.2273345134456201,0.5762729107209215
6.754,0.2823034542619083,0.2273094670600679,0.5762551053976871
6.756,0.2823600686280766,0.2272842948312795,0.5762372962310166
6.758,0.2824167761054234,0.227258995408079,0.5762194843812266
6.76,0.2824735753266174,0.2272335674479581,0.5762016710035721
6.762,0.2825304649284809,0.2272080096173538,0.5761838572480605
6.764,0.2825874435463301,0.2271823206057197,0.5761660442566765
6.766,0.2826445098111478,0.2271564991328934,0.5761482331618667
6.768,0.2827016623879177,0.2271305438588516,0.5761304251033154
6.77,0.2827588999310461,0.227104453490054,0.5761126212078723
6.772,0.2828162210998495,0.2270782267433774,0.5760948225961773
6.774,0.2828736245587127,0.2270518623463966,0.5760770303824707
6.776,0.282931108977247,0.2270253590376622,0.5760592456744033
6.778,0.2829886730304466,0.226998715566981,0.5760414695728463
6.78,0.283046315398847,0.2269719306956953,0.5760237031717025
6.782,0.2831040347686823,0.2269450031969616,0.5760059475577145
6.784,0.2831618298320421,0.2269179318560302,0.5759882038102764
6.786,0.2832196992870297,0.226890715470525,0.575970473001242
6.788,0.283277641837919,0.2268633528507216,0.5759527561947363
6.79,0.2833356561953119,0.2268358428198277,0.5759350544469639
6.792,0.2833937410762954,0.2268081842142614,0.5759173688060188
6.794,0.2834518952045998,0.2267803758839309,0.5758997003116951
6.796,0.2835101173107547,0.2267524166925131,0.5758820499952952
6.798,0.2835684061322465,0.2267243055177335,0.5758644188794402
6.8,0.2836267604136769,0.2266960412516446,0.5758468079778791
6.802,0.2836851787743226,0.2266676226150691,0.575829218433773
6.804,0.2837436599405739,0.2266390484834198,0.5758116512769559
6.806,0.2838022027818637,0.2266103179371235,0.5757941073863422
6.808,0.2838608060660796,0.2265814299188808,0.5757765877453405
6.81,0.2839194685686196,0.226552383386569,0.5757590933279423
6.812,0.2839781890725406,0.2265231773135075,0.5757416250985423
6.814,0.2840369663687036,0.2264938106887228,0.5757241840117556
6.816,0.2840957992559229,0.2264642825172145,0.5757067710122389
6.818,0.2841546865411129,0.2264345918202202,0.5756893870345093
6.82,0.2842136270394346,0.2264047376354808,0.5756720330027636
6.822,0.2842726195744444,0.2263747190175062,0.5756547098306981
6.824,0.2843316629782393,0.22634453503784,0.5756374184213268
6.826,0.2843907560916066,0.2263141847853254,0.5756201596668018
6.828,0.284449897764169,0.2262836673663704,0.5756029344482329
6.83,0.2845090868545326,0.2262529819052126,0.5755857436355043
6.832,0.2845683222304348,0.2262221275441853,0.5755685880870972
6.834,0.2846276027688904,0.2261911034439818,0.5755514686499074
6.836,0.2846869273563403,0.2261599087839218,0.575534386159064
6.838,0.2847462948887965,0.2261285427622158,0.5755173414377501
6.84,0.2848057038923557,0.2260970039891616,0.5755003357233961
6.842,0.28486515346457,0.2260652919924926,0.5754833696104457
6.844,0.284924642609845,0.2260334061546738,0.5754664437966865
6.846,0.2849841702513806,0.22600134573202,0.5754495590698501
6.848,0.2850437353219651,0.2259691099999116,0.5754327162056273
6.85,0.2851033367641051,0.2259366982530313,0.5754159159675102
6.852,0.2851629735301539,0.2259041098056007,0.5753991591066296
6.854,0.2852226445824421,0.2258713439916176,0.5753824463615959
6.856,0.2852823488934061,0.2258384001650919,0.5753657784583381
6.858,0.2853420854457178,0.2258052777002827,0.5753491561099432
6.86,0.285401853232414,0.2257719759919351,0.5753325800164957
6.862,0.2854616512570263,0.2257384944555171,0.575316050864918
6.864,0.2855214785337099,0.2257048325274561,0.5752995693288097
6.866,0.2855813340873734,0.2256709896653758,0.5752831360682864
6.868,0.2856412169538084,0.2256369653483329,0.5752667517298207
6.87,0.2857011261798186,0.2256027590770542,0.5752504169460817
6.872,0.28576106082335,0.2255683703741729,0.5752341323357737
6.874,0.2858210199536197,0.2255337987844662,0.5752178985034777
6.876,0.285881002615667,0.2254990438152414,0.575201716080637
6.878,0.2859410072801232,0.2254641040107662,0.5751855863619042
6.88,0.2860010335546597,0.22542897983124,0.5751695093258591
6.882,0.2860610805380954,0.2253936708841501,0.5751534855384098
6.884,0.2861211473401849,0.2253581767986561,0.5751375155516797
6.886,0.2861812330817238,0.2253224972257853,0.5751215999038785
6.888,0.2862413368946529,0.2252866318386273,0.5751057391191686
6.89,0.2863014579221634,0.2252505803325293,0.5750899337075369
6.892,0.2863615953188017,0.225214342425291,0.5750741841646617
6.894,0.2864217482505746,0.2251779178573607,0.5750584909717836
6.896,0.2864819158950539,0.2251413063920292,0.575042854595574
6.898,0.2865420974414817,0.2251045078156259,0.5750272754880051
6.9,0.286602292090876,0.2250675219377138,0.5750117540862185
6.902,0.2866624990561346,0.225030348591285,0.574996290812396
6.904,0.2867227175621412,0.2249929876329553,0.574980886073628
6.906,0.2867829468458702,0.2249554389431607,0.574965540261784
6.908,0.2868431861564926,0.2249177024263517,0.5749502537533832
6.91,0.2869034347554799,0.2248797780111892,0.5749350269094613
6.912,0.2869636919167108,0.22484166565074,0.5749198600754446
6.914,0.2870239566739621,0.2248033648841782,0.574904753878598
6.916,0.2870842279386918,0.2247648750412398,0.5748897090892977
6.918,0.2871445054705647,0.2247261969269116,0.5748747254777063
6.92,0.2872047885733561,0.2246873305577574,0.5748598033499989
6.922,0.2872650765625671,0.2246482759736273,0.5748449429975152
6.924,0.287325368765499,0.2246090332377987,0.5748301446966645
6.926,0.2873856645213294,0.2245696024371213,0.5748154087088342
6.928,0.2874459631811869,0.2245299836821583,0.5748007352802937
6.93,0.2875062641082268,0.2244901771073303,0.5747861246421028
6.932,0.2875665666777058,0.2244501828710578,0.5747715770100169
6.934,0.2876268702770587,0.2244100011559053,0.5747570925843954
6.936,0.2876871743059725,0.2243696321687229,0.5747426715501067
6.938,0.2877474781764628,0.2243290761407905,0.574728314076436
6.94,0.2878077813129493,0.2242883333279607,0.5747140203169923
6.942,0.2878680831523309,0.224247404010802,0.5746997904096154
6.944,0.2879283831440623,0.2242062884947419,0.574685624476283
6.946,0.2879886807502292,0.2241649871102106,0.5746715226230183
6.948,0.2880489754456241,0.2241235002127838,0.5746574849397975
6.95,0.2881092667178219,0.2240818281833264,0.5746435115004555
6.952,0.2881695535363804,0.22403997048385,0.5746296029969876
6.954,0.2882298354215407,0.2239979275584504,0.5746157594624666
6.956,0.2882901122023789,0.2239557004031364,0.5746019805600369
6.958,0.2883503833947313,0.2239132894593338,0.5745882663262876
6.96,0.2884106485262343,0.2238706951920515,0.5745746167828346
6.962,0.288470907136367,0.2238279180899648,0.574561031936269
6.964,0.288531158776493,0.2237849586654984,0.5745475117781054
6.966,0.2885914030099025,0.2237418174549093,0.5745340562847313
6.968,0.2886516394118551,0.2236984950183705,0.5745206654173559
6.97,0.2887118675696211,0.2236549919400533,0.5745073391219584
6.972,0.2887720870825253,0.2236113088282119,0.5744940773292387
6.974,0.2888322975619878,0.2235674463152651,0.5744808799545648
6.976,0.2888924986315682,0.2235234050578811,0.5744677468979232
6.978,0.2889526899270068,0.2234791857370597,0.5744546780438684
6.98,0.2890128710962676,0.2234347890582163,0.5744416732614714
6.982,0.2890730417995813,0.2233902157512653,0.5744287324042711
6.984,0.289133201709487,0.2233454665707033,0.5744158553102211
6.986,0.2891933505108761,0.2233005422956928,0.574403041801643
6.988,0.2892534879010347,0.2232554437301455,0.5743902916851735
6.99,0.289313612758895,0.2232101701925296,0.5743776057570968
6.992,0.2893737253036667,0.2231647234400133,0.5743649831910517
6.994,0.2894338253655741,0.2231191045248657,0.5743524236307436
